open_broker_time,close_broker_time,broker_hour,ticket,kind,side,lots,entry,net_pnl,hold_seconds,gap_from_prev_close_s,cumulative_pnl,outcome
2026-05-15 07:19:12,2026-05-15 07:19:35,7,52170495,PROBE,SELL,0.01,4615.89,1.05,23,0,-26.47,WIN
2026-05-15 07:19:14,2026-05-15 07:19:36,7,52170505,PROBE,SELL,0.01,4615.85,1.03,22,-21,-25.44,WIN
2026-05-15 07:19:31,2026-05-15 07:19:36,7,52170675,MAIN,SELL,0.4,4614.57,-10.0,5,-5,-35.44,LOSS
2026-05-15 07:19:31,2026-05-15 07:19:35,7,52170731,MAIN,SELL,0.4,4614.6,-8.4,4,-5,-43.84,LOSS
2026-05-15 07:21:24,2026-05-15 07:21:27,7,52171272,MAIN,SELL,0.4,4610.39,10.0,3,109,-33.84,WIN
2026-05-15 07:21:27,2026-05-15 07:22:09,7,52171295,MAIN,SELL,0.4,4609.93,6.0,42,0,-27.84,WIN
2026-05-15 07:21:27,2026-05-15 07:22:28,7,52171323,PROBE,SELL,0.01,4609.94,1.7,61,-42,-26.14,WIN
2026-05-15 07:22:09,2026-05-15 07:22:30,7,52171446,PROBE,SELL,0.01,4609.62,1.61,21,-19,-24.53,WIN
2026-05-15 07:22:25,2026-05-15 07:22:28,7,52171515,MAIN,SELL,0.4,4608.72,19.2,3,-5,-5.33,WIN
2026-05-15 07:22:27,2026-05-15 07:22:30,7,52171558,MAIN,SELL,0.4,4607.94,1.6,3,-1,-3.73,WIN
2026-05-15 07:22:28,2026-05-15 07:43:50,7,52171590,PROBE,SELL,0.01,4607.81,2.06,1282,-2,-1.67,WIN
2026-05-15 07:22:30,2026-05-15 07:43:50,7,52171635,PROBE,SELL,0.01,4607.8,2.08,1280,-1280,0.41,WIN
2026-05-15 07:43:48,2026-05-15 07:43:49,7,52173988,MAIN,SELL,0.4,4606.05,11.2,1,-2,11.61,WIN
2026-05-15 07:43:48,2026-05-15 07:43:50,7,52173991,MAIN,SELL,0.4,4606.04,11.2,2,-1,22.81,WIN
2026-05-15 07:43:50,2026-05-15 07:48:35,7,52174031,PROBE,SELL,0.01,4605.54,-2.81,285,0,20.0,LOSS
2026-05-15 07:43:51,2026-05-15 08:01:04,7,52174044,PROBE,SELL,0.01,4605.39,1.74,1033,-284,21.74,WIN
2026-05-15 07:44:36,2026-05-15 07:48:35,7,52174328,MAIN,SELL,0.4,4604.56,-149.6,239,-988,-127.86,LOSS
2026-05-15 07:48:35,2026-05-15 07:55:34,7,52174559,PROBE,SELL,0.01,4608.37,1.76,419,0,-126.1,WIN
2026-05-15 07:55:19,2026-05-15 07:55:33,7,52175870,MAIN,SELL,0.4,4607.08,19.2,14,-15,-106.9,WIN
2026-05-15 07:55:34,2026-05-15 08:01:04,7,52176023,PROBE,SELL,0.01,4606.39,3.37,330,1,-103.53,WIN
2026-05-15 07:59:21,2026-05-15 08:01:04,7,52176334,MAIN,SELL,0.4,4605.17,72.8,103,-103,-30.73,WIN
2026-05-15 08:01:04,2026-05-15 08:01:04,8,52176786,MAIN,SELL,0.4,4603.45,17.2,0,0,-13.53,WIN
2026-05-15 08:01:04,2026-05-15 08:02:04,8,52176816,PROBE,SELL,0.01,4602.79,1.75,60,0,-11.78,WIN
2026-05-15 08:01:06,2026-05-15 08:02:04,8,52176866,PROBE,SELL,0.01,4602.68,1.6,58,-58,-10.18,WIN
2026-05-15 08:01:57,2026-05-15 08:02:04,8,52177083,MAIN,SELL,0.4,4601.6,23.6,7,-7,13.42,WIN
2026-05-15 08:01:58,2026-05-15 08:02:04,8,52177104,MAIN,SELL,0.4,4601.38,5.6,6,-6,19.02,WIN
2026-05-15 08:02:04,2026-05-15 08:03:48,8,52177218,PROBE,SELL,0.01,4600.78,1.15,104,0,20.17,WIN
2026-05-15 08:03:33,2026-05-15 08:03:48,8,52177678,MAIN,SELL,0.4,4599.53,6.4,15,-15,26.57,WIN
2026-05-15 08:04:00,2026-05-15 08:07:23,8,52177815,PROBE,SELL,0.01,4599.66,1.14,203,12,27.71,WIN
2026-05-15 08:07:23,2026-05-15 08:07:32,8,52178383,PROBE,SELL,0.01,4598.41,1.37,9,0,29.08,WIN
2026-05-15 08:07:25,2026-05-15 08:08:10,8,52178415,PROBE,SELL,0.01,4597.74,2.07,45,-7,31.15,WIN
2026-05-15 08:07:29,2026-05-15 08:07:32,8,52178479,MAIN,SELL,0.4,4597.24,22.8,3,-41,53.95,WIN
2026-05-15 08:07:32,2026-05-15 08:08:09,8,52178528,MAIN,SELL,0.4,4596.35,26.4,37,0,80.35,WIN
2026-05-15 08:07:32,2026-05-15 08:08:18,8,52178558,PROBE,SELL,0.01,4596.6,1.63,46,-37,81.98,WIN
2026-05-15 08:08:09,2026-05-15 08:08:17,8,52178727,MAIN,SELL,0.4,4595.38,13.2,8,-9,95.18,WIN
2026-05-15 08:08:10,2026-05-15 08:08:32,8,52178799,PROBE,SELL,0.01,4595.78,1.33,22,-7,96.51,WIN
2026-05-15 08:08:18,2026-05-15 08:08:41,8,52178879,PROBE,SELL,0.01,4594.74,1.86,23,-14,98.37,WIN
2026-05-15 08:08:20,2026-05-15 08:08:32,8,52178906,MAIN,SELL,0.4,4594.54,4.8,12,-21,103.17,WIN
2026-05-15 08:08:32,2026-05-15 08:10:03,8,52179019,PROBE,SELL,0.01,4594.43,1.82,91,0,104.99,WIN
2026-05-15 08:08:40,2026-05-15 08:08:41,8,52179097,MAIN,SELL,0.4,4593.5,24.8,1,-83,129.79,WIN
2026-05-15 08:08:40,2026-05-15 08:10:03,8,52179119,MAIN,SELL,0.4,4592.71,4.0,83,-1,133.79,WIN
2026-05-15 08:08:41,2026-05-15 08:11:04,8,52179195,PROBE,SELL,0.01,4592.63,1.39,143,-82,135.18,WIN
2026-05-15 08:10:03,2026-05-15 08:11:04,8,52179360,PROBE,SELL,0.01,4592.46,1.48,61,-61,136.66,WIN
2026-05-15 08:10:57,2026-05-15 08:11:03,8,52179701,MAIN,SELL,0.4,4591.49,16.8,6,-7,153.46,WIN
2026-05-15 08:10:57,2026-05-15 08:11:03,8,52179703,MAIN,SELL,0.4,4591.49,16.8,6,-6,170.26,WIN
2026-05-15 08:11:04,2026-05-15 08:11:19,8,52179800,PROBE,SELL,0.01,4591.41,1.96,15,1,172.22,WIN
2026-05-15 08:11:06,2026-05-15 08:11:19,8,52179807,PROBE,SELL,0.01,4591.42,1.98,13,-13,174.2,WIN
2026-05-15 08:11:17,2026-05-15 08:11:18,8,52179870,MAIN,SELL,0.4,4590.04,24.0,1,-2,198.2,WIN
2026-05-15 08:11:17,2026-05-15 08:11:18,8,52179881,MAIN,SELL,0.4,4589.72,11.2,1,-1,209.4,WIN
2026-05-15 08:18:36,2026-05-15 08:18:45,8,52182076,MAIN,SELL,0.4,4586.29,42.0,9,438,251.4,WIN
2026-05-15 08:18:42,2026-05-15 08:18:48,8,52182131,MAIN,SELL,0.4,4585.76,34.0,6,-3,285.4,WIN
2026-05-15 08:18:45,2026-05-15 08:19:14,8,52182224,PROBE,SELL,0.01,4585.12,1.5,29,-3,286.9,WIN
2026-05-15 08:18:48,2026-05-15 08:19:24,8,52182267,PROBE,SELL,0.01,4584.74,1.6,36,-26,288.5,WIN
2026-05-15 08:19:03,2026-05-15 08:19:14,8,52182374,MAIN,SELL,0.4,4583.83,8.4,11,-21,296.9,WIN
2026-05-15 08:19:11,2026-05-15 08:19:24,8,52182467,MAIN,SELL,0.4,4583.61,17.2,13,-3,314.1,WIN
2026-05-15 08:19:14,2026-05-15 08:19:27,8,52182494,PROBE,SELL,0.01,4583.53,1.22,13,-10,315.32,WIN
2026-05-15 08:19:24,2026-05-15 08:20:27,8,52182577,PROBE,SELL,0.01,4582.88,1.55,63,-3,316.87,WIN
2026-05-15 08:19:25,2026-05-15 08:19:26,8,52182590,MAIN,SELL,0.4,4582.29,-0.8,1,-62,316.07,LOSS
2026-05-15 08:19:27,2026-05-15 08:31:02,8,52182647,PROBE,SELL,0.01,4582.07,1.16,695,1,317.23,WIN
2026-05-15 08:19:35,2026-05-15 08:20:27,8,52182739,MAIN,SELL,0.4,4581.65,14.4,52,-687,331.63,WIN
2026-05-15 08:20:27,2026-05-15 08:31:06,8,52182960,PROBE,SELL,0.01,4581.11,2.13,639,0,333.76,WIN
2026-05-15 08:30:56,2026-05-15 08:31:02,8,52186197,MAIN,SELL,0.4,4580.83,-4.0,6,-10,329.76,LOSS
2026-05-15 08:31:02,2026-05-15 08:31:06,8,52186292,PROBE,SELL,0.01,4580.64,1.9,4,0,331.66,WIN
2026-05-15 08:31:03,2026-05-15 08:31:05,8,52186303,MAIN,SELL,0.4,4579.03,9.6,2,-3,341.26,WIN
2026-05-15 08:31:03,2026-05-15 08:31:05,8,52186316,MAIN,SELL,0.4,4579.21,16.8,2,-2,358.06,WIN
2026-05-15 08:31:06,2026-05-15 08:32:06,8,52186454,PROBE,SELL,0.01,4578.76,2.28,60,1,360.34,WIN
2026-05-15 08:31:08,2026-05-15 08:32:10,8,52186500,PROBE,SELL,0.01,4578.07,2.66,62,-58,363.0,WIN
2026-05-15 08:32:04,2026-05-15 08:32:06,8,52186852,MAIN,SELL,0.4,4577.48,48.8,2,-6,411.8,WIN
2026-05-15 08:32:06,2026-05-15 08:32:09,8,52186933,MAIN,SELL,0.4,4575.75,-4.0,3,0,407.8,LOSS
2026-05-15 08:32:06,2026-05-15 08:32:14,8,52186972,PROBE,SELL,0.01,4576.12,2.02,8,-3,409.82,WIN
2026-05-15 08:32:10,2026-05-15 08:32:17,8,52187077,PROBE,SELL,0.01,4575.33,2.4,7,-4,412.22,WIN
2026-05-15 08:32:12,2026-05-15 08:32:13,8,52187106,MAIN,SELL,0.4,4574.56,15.2,1,-5,427.42,WIN
2026-05-15 08:32:13,2026-05-15 08:32:17,8,52187157,MAIN,SELL,0.4,4574.02,43.2,4,0,470.62,WIN
2026-05-15 08:32:14,2026-05-15 08:32:30,8,52187177,PROBE,SELL,0.01,4573.91,-2.66,16,-3,467.96,LOSS
2026-05-15 08:32:16,2026-05-15 08:32:29,8,52187254,MAIN,SELL,0.4,4572.79,-148.8,13,-14,319.16,LOSS
