open_hms,hour,side,entry,pnl,bar_idx,bar_open,bar_close,bar_high,bar_low,bar_vol,body,reasons,primary
19:11:06,19,sell,5083.3,2.36,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
19:11:51,19,sell,5083.79,16.99,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
19:11:51,19,sell,5083.79,16.99,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
19:11:52,19,sell,5083.75,16.66,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
19:11:52,19,sell,5083.75,16.66,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
19:26:06,19,sell,5089.16,14.55,1106,5089.1,5087.82,5089.58,5087.16,333,-1.29,no_green_uhv_candidate,no_green_uhv_candidate
19:26:06,19,sell,5089.38,16.4,1106,5089.1,5087.82,5089.58,5087.16,333,-1.29,no_green_uhv_candidate,no_green_uhv_candidate
19:26:06,19,sell,5089.41,16.65,1106,5089.1,5087.82,5089.58,5087.16,333,-1.29,no_green_uhv_candidate,no_green_uhv_candidate
19:29:31,19,buy,5086.34,0.84,1109,5086.34,5087.68,5088.2,5086.0,348,1.35,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:29:31,19,buy,5086.34,0.84,1109,5086.34,5087.68,5088.2,5086.0,348,1.35,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:29:32,19,buy,5086.34,0.84,1109,5086.34,5087.68,5088.2,5086.0,348,1.35,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:32:48,19,buy,5084.71,5.89,1112,5084.77,5084.92,5085.28,5082.63,323,0.15,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:32:48,19,buy,5084.83,4.88,1112,5084.77,5084.92,5085.28,5082.63,323,0.15,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:36:19,19,buy,5082.91,10.6,1116,5082.86,5084.6,5084.81,5081.57,398,1.74,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:36:19,19,buy,5082.93,10.43,1116,5082.86,5084.6,5084.81,5081.57,398,1.74,uhv_not_local_peak|bo_open_above_uhv_high (gap),uhv_not_local_peak
19:41:59,19,sell,5091.09,1.35,1121,5086.66,5091.02,5091.57,5086.18,434,4.36,bo_not_red,bo_not_red
19:41:59,19,sell,5091.09,1.26,1121,5086.66,5091.02,5091.57,5086.18,434,4.36,bo_not_red,bo_not_red
19:42:26,19,sell,5093.18,9.5,1122,5091.02,5091.49,5094.1,5090.65,495,0.47,bo_not_red,bo_not_red
19:42:27,19,sell,5092.97,7.4,1122,5091.02,5091.49,5094.1,5090.65,495,0.47,bo_not_red,bo_not_red
