side,open_t,entry,exit,delta_pt,peak_pt,pnl_usd,exit_reason
SELL,2026-05-14 01:33,4696.48,4698.48,-2.0,0.26999999999952706,-60.0,SL
SELL,2026-05-14 02:04,4699.68,4701.68,-2.0,0.3100000000004002,-60.0,SL
BUY,2026-05-14 02:57,4694.94,4696.27,1.3300000000008367,2.110000000000582,39.9000000000251,trail
BUY,2026-05-14 06:26,4688.87,4691.27,2.4000000000005457,2.949999999999818,72.00000000001637,trail
BUY,2026-05-14 08:45,4697.69,4700.08,2.3900000000003274,2.9000000000005457,71.70000000000982,trail
SELL,2026-05-19 15:44,4539.59,4538.54,1.050000000000182,1.550000000000182,31.500000000005457,trail
SELL,2026-05-19 16:56,4508.61,4507.82,0.7899999999999636,1.3599999999996726,23.69999999999891,trail
SELL,2026-05-19 19:50,4506.07,4505.54,0.5299999999997453,1.0299999999997453,15.89999999999236,trail
BUY,2026-05-19 22:05,4494.22,4495.03,0.8099999999994907,1.3299999999999272,24.29999999998472,trail
SELL,2026-05-20 01:38,4482.22,4481.09,1.1300000000001091,1.8500000000003638,33.900000000003274,trail
BUY,2026-05-20 01:54,4480.5,4481.29,0.7899999999999636,1.4399999999995998,23.69999999999891,trail
SELL,2026-05-20 02:36,4491.51,4490.07,1.4400000000005093,2.0200000000004366,43.20000000001528,trail
SELL,2026-05-20 07:03,4468.26,4467.74,0.5200000000004366,1.0799999999999272,15.600000000013097,trail
BUY,2026-05-20 14:16,4494.91,4495.94,1.0299999999997453,1.550000000000182,30.89999999999236,trail
SELL,2026-05-21 14:27,4514.0,4513.4,0.6000000000003638,1.1000000000003638,18.000000000010914,trail
SELL,2026-05-21 16:30,4499.83,4498.93,0.8999999999996362,1.6400000000003274,26.999999999989086,trail
BUY,2026-05-21 17:27,4502.49,4506.95,4.460000000000036,5.0,133.8000000000011,trail
SELL,2026-05-21 17:33,4508.79,4508.05,0.7399999999997817,1.269999999999527,22.19999999999345,trail
BUY,2026-05-22 03:37,4539.13,4539.66,0.5299999999997453,1.0399999999999636,15.89999999999236,trail
SELL,2026-05-22 14:29,4513.27,4512.53,0.7400000000006912,1.3500000000003638,22.200000000020736,trail
BUY,2026-05-22 16:03,4522.06,4522.98,0.9199999999991633,1.449999999999818,27.599999999974898,trail
BUY,2026-05-22 18:18,4512.23,4514.13,1.9000000000005457,2.5900000000001455,57.00000000001637,trail
SELL,2026-05-25 01:11,4556.68,4555.23,1.4500000000007276,2.7100000000000364,43.50000000002183,trail
BUY,2026-05-25 08:35,4558.06,4559.96,1.8999999999996362,2.4299999999993815,56.999999999989086,trail
BUY,2026-05-25 10:04,4563.89,4561.89,-2.0,0.31999999999970896,-60.0,SL
BUY,2026-05-26 08:32,4531.74,4532.92,1.180000000000291,2.0,35.40000000000873,trail
BUY,2026-05-26 08:48,4527.54,4529.2,1.6599999999998545,2.1599999999998545,49.799999999995634,trail
SELL,2026-05-26 13:42,4533.92,4533.12,0.8000000000001819,1.319999999999709,24.000000000005457,trail
BUY,2026-05-26 22:09,4499.56,4500.5,0.9399999999995998,1.4399999999995998,28.199999999987995,trail
BUY,2026-05-27 01:07,4515.549,4516.256,0.7070000000003347,1.38799999999992,21.21000000001004,trail
SELL,2026-05-27 03:37,4502.987,4502.496,0.49099999999998545,1.0929999999998472,14.729999999999563,trail
BUY,2026-05-27 09:36,4491.117,4491.669,0.5519999999996799,1.1759999999994761,16.559999999990396,trail
BUY,2026-05-27 10:06,4487.588,4488.457,0.8690000000005966,1.5070000000005166,26.0700000000179,trail
BUY,2026-05-27 11:42,4441.35,4442.479,1.1289999999999054,1.8339999999998327,33.86999999999716,trail
BUY,2026-05-27 12:36,4452.214,4450.214,-2.0,0.0,-60.0,SL
SELL,2026-05-27 14:49,4443.44,4442.563,0.876999999999498,1.6499999999996362,26.30999999998494,trail
BUY,2026-05-27 16:33,4448.247,4448.86,0.6129999999993743,1.139999999999418,18.389999999981228,trail
SELL,2026-05-27 19:51,4451.889,4450.794,1.0950000000002547,1.6649999999999636,32.85000000000764,trail
SELL,2026-05-27 20:22,4456.963,4456.092,0.8710000000000946,1.3719999999993888,26.130000000002838,trail
BUY,2026-05-28 02:14,4397.896,4397.917,0.021000000000640284,1.305000000000291,0.6300000000192085,trail
BUY,2026-05-28 11:04,4386.267,4388.803,2.536000000000058,3.055000000000291,76.08000000000175,trail
BUY,2026-05-28 12:14,4391.724,4391.693,-0.03099999999994907,1.1409999999996217,-0.929999999998472,trail
SELL,2026-05-28 13:06,4436.361,4435.532,0.8289999999997235,1.3350000000000364,24.869999999991705,trail
SELL,2026-05-28 14:55,4470.129,4469.238,0.8909999999996217,1.4439999999995052,26.72999999998865,trail
BUY,2026-05-28 17:31,4504.271,4505.632,1.3609999999998763,1.9290000000000873,40.82999999999629,trail
BUY,2026-05-29 00:50,4495.667,4496.095,0.4279999999998836,1.0339999999996508,12.839999999996508,trail
SELL,2026-05-29 01:08,4496.52,4495.11,1.410000000000764,2.1700000000000728,42.30000000002292,trail
SELL,2026-05-29 03:03,4494.73,4494.24,0.4899999999997817,1.0,14.699999999993452,trail
SELL,2026-05-29 08:35,4508.26,4506.43,1.8299999999999272,2.3299999999999272,54.89999999999782,trail
BUY,2026-05-29 11:51,4510.77,4513.95,3.1799999999993815,3.699999999999818,95.39999999998145,trail
SELL,2026-05-29 12:53,4533.47,4532.22,1.25,1.7700000000004366,37.5,trail
SELL,2026-05-29 23:17,4547.22,4546.26,0.9600000000000364,1.4700000000002547,28.80000000000109,trail
BUY,2026-06-01 09:00,4498.007,4499.937,1.930000000000291,2.4400000000005093,57.90000000000873,trail
BUY,2026-06-01 10:26,4501.329,4502.663,1.3339999999998327,2.157000000000153,40.01999999999498,trail
SELL,2026-06-01 16:03,4474.016,4473.468,0.5479999999997744,1.0599999999994907,16.439999999993233,trail
BUY,2026-06-01 20:49,4483.351,4485.421,2.0700000000006185,2.6270000000004075,62.100000000018554,trail
BUY,2026-06-01 23:20,4486.355,4487.763,1.4080000000003565,1.954000000000633,42.240000000010696,trail
BUY,2026-06-02 02:52,4478.334,4478.914,0.5799999999999272,1.21100000000024,17.399999999997817,trail
SELL,2026-06-02 10:01,4536.55,4535.19,1.360000000000582,1.9200000000000728,40.80000000001746,trail
BUY,2026-06-02 18:33,4505.1,4505.11,0.009999999999308784,1.639999999999418,0.2999999999792635,trail
SELL,2026-06-02 22:21,4486.81,4488.81,-2.0,0.8500000000003638,-60.0,SL
SELL,2026-06-03 01:33,4491.05,4490.59,0.4600000000000364,1.0299999999997453,13.800000000001091,trail
SELL,2026-06-03 02:07,4483.07,4482.72,0.3499999999994543,1.0599999999994907,10.499999999983629,trail
BUY,2026-06-03 03:39,4488.6,4489.81,1.2100000000000364,1.7799999999997453,36.30000000000109,trail
SELL,2026-06-03 05:16,4479.64,4479.02,0.6199999999998909,1.4200000000000728,18.599999999996726,trail
BUY,2026-06-03 08:33,4462.29,4463.92,1.6300000000001091,2.2200000000002547,48.900000000003274,trail
BUY,2026-06-03 09:56,4459.59,4461.01,1.4200000000000728,1.9799999999995634,42.60000000000218,trail
BUY,2026-06-03 10:48,4459.28,4459.97,0.6900000000005093,1.3800000000001091,20.70000000001528,trail
